name	group	status	source	rgb	pixels	bbox
燕山西段	燕赵晋秦	新增候选	风云世纪两千年 5238	103,145,189	223	4614,684,4633,703
燕山东段	燕赵晋秦	新增候选	风云世纪两千年 5237	174,51,139	209	4676,690,4701,708
恒山	燕赵晋秦	现有锚点	当前省份 5257	existing	100	4569,727,4590,743
太行山北段	燕赵晋秦	现有锚点	当前省份 5258	existing	105	4577,739,4595,758
太行山南段	燕赵晋秦	现有锚点	当前省份 5259	existing	213	4576,765,4590,817
吕梁山	燕赵晋秦	现有锚点	当前省份 5260	existing	116	4544,752,4554,778
中条山	燕赵晋秦	现有锚点	当前省份 5261	existing	198	4536,803,4568,828
伏牛山	燕赵晋秦	新增候选	大明日不落 5182	38,164,89	342	4529,831,4570,855
秦岭	燕赵晋秦	现有锚点	当前省份 5183	existing	342	4461,830,4492,848
陇山	燕赵晋秦	现有锚点	当前省份 5187	existing	112	4450,793,4464,811
桐柏山	江汉屏障	新增候选	大明日不落 5173	109,70,39	64	4585,875,4596,886
大别山	江汉屏障	新增候选	大明日不落 5237	180,183,196	257	4605,873,4629,903
巫山	江汉屏障	新增候选	大明日不落 5172	44,89,146	267	4555,982,4575,1012
大巴山	江汉屏障	现有锚点	当前省份 5175	existing	353	4489,857,4521,877
武夷山	东南脊梁	新增候选	大明日不落 5158	115,202,96	210	4616,963,4641,998
罗霄山	东南脊梁	新增候选	大明日不落 5161	186,108,46	185	4613,954,4632,986
大庾岭	东南脊梁	新增候选	大明日不落 5163	50,221,203	90	4579,1001,4592,1011
九连山	东南脊梁	新增候选	大明日不落 5164	121,127,153	107	4581,1008,4598,1026
雪峰山	东南脊梁	新增候选	大明日不落 5165	192,33,103	141	4515,942,4535,952
越城岭	东南脊梁	新增候选	大明日不落 5170	56,146,53	492	4507,976,4553,1010
十万大山	东南脊梁	新增候选	大明日不落 5167	127,52,210	40	4459,1058,4465,1066
大凉山	西南高地	新增候选	大明日不落 5147	198,165,160	223	4385,955,4398,988
哀牢山	西南高地	新增候选	大明日不落 5168	62,71,110	212	4355,1015,4378,1031
苗岭	西南高地	新增候选	大明日不落 5169	133,184,60	226	4443,981,4460,1007
大娄山	西南高地	新增候选	大明日不落 5171	204,90,217	208	4513,893,4541,907
岷山	西南高地	现有锚点	当前省份 5176	existing	228	4433,838,4455,861
泰山	齐鲁山地	新增候选	大明日不落 5152	68,203,167	266	4640,780,4667,808
