l_english:
 zhx_academy_chongli:0 "崇礼学宫（儒家）"
 zhx_academy_chongli_desc:0 "此宫以礼义、经传和名分为学统，主张先成其德而后正其政。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_minglun:0 "明伦学宫（儒家）"
 zhx_academy_minglun_desc:0 "此宫辨君臣、亲疏与公共责任，试图以教化使礼序成为可行的日常制度。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_yifa:0 "壹法学宫（法家）"
 zhx_academy_yifa_desc:0 "此宫重成文之法、赏罚一贯与政令必行，以公开尺度约束官民。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_xunming:0 "循名学宫（法家）"
 zhx_academy_xunming_desc:0 "此宫循名责实，校核官职、文书与功罪，使权责不因私门而废。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_jianai:0 "兼爱学宫（墨家）"
 zhx_academy_jianai_desc:0 "此宫讲兼相爱、交相利、非攻与救守，以可验证的公共利益衡量政事。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_shangtong:0 "尚同学宫（墨家）"
 zhx_academy_shangtong_desc:0 "此宫尚贤尚同，传习工术、守城与节用，要求制度首先经受实用检验。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_xuantong:0 "玄同学宫（道家）"
 zhx_academy_xuantong_desc:0 "此宫崇尚清静、因势与玄同，劝执政少扰民力而不以繁令伤生。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_baopu:0 "抱朴学宫（道家）"
 zhx_academy_baopu_desc:0 "此宫守朴寡欲，重休养、节制与顺应地方习俗，使政令不过度侵夺民生。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_miaosuan:0 "庙算学宫（兵家）"
 zhx_academy_miaosuan_desc:0 "此宫以战前校计、地势、情报和军需为先，反对无备而战。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_zhisheng:0 "制胜学宫（兵家）"
 zhx_academy_zhisheng_desc:0 "此宫传习军律、训练、后备与水陆协同，务求先立不败而后求胜。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_baihe:0 "捭阖学宫（纵横家）"
 zhx_academy_baihe_desc:0 "此宫审时察势，以开阖之术游说列国，在盟誓与权变之间谋取生存空间。学宫专名随师承延续，不因驻地迁徙而更改。"
 zhx_academy_lianheng:0 "连衡学宫（纵横家）"
 zhx_academy_lianheng_desc:0 "此宫经营使节、盟书与跨国消息网络，善用多边关系牵制强邻。学宫专名随师承延续，不因驻地迁徙而更改。"

 zhx_academy_synergy_ru:0 "儒学宫协同"
 zhx_academy_synergy_ru_desc:0 "本国拥有至少一座儒家学宫，且以儒家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"
 zhx_academy_synergy_fa:0 "法学宫协同"
 zhx_academy_synergy_fa_desc:0 "本国拥有至少一座法家学宫，且以法家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"
 zhx_academy_synergy_mo:0 "墨学宫协同"
 zhx_academy_synergy_mo_desc:0 "本国拥有至少一座墨家学宫，且以墨家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"
 zhx_academy_synergy_dao:0 "道学宫协同"
 zhx_academy_synergy_dao_desc:0 "本国拥有至少一座道家学宫，且以道家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"
 zhx_academy_synergy_bing:0 "兵学宫协同"
 zhx_academy_synergy_bing_desc:0 "本国拥有至少一座兵家学宫，且以兵家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"
 zhx_academy_synergy_zongheng:0 "纵横学宫协同"
 zhx_academy_synergy_zongheng_desc:0 "本国拥有至少一座纵横家学宫，且以纵横家为主学派。学宫与朝廷相互支撑；同派学宫再多也不会重复叠加。"

 zhx_academy_tension_mild:0 "百家异响"
 zhx_academy_tension_mild_desc:0 "境内存在一种既非主学派、也未被受邀第二学派保护的学宫传统。争论已开始拖累政令、治理容量与新征服地区的整合。"
 zhx_academy_tension_medium:0 "思想纷争"
 zhx_academy_tension_medium_desc:0 "境内存在两种未受保护的学宫传统。异派按学派种类而非学宫数量计算；纷争正在明显妨碍稳定、治理与扩张后的整合。"
 zhx_academy_tension_heavy:0 "百家鼎沸"
 zhx_academy_tension_heavy_desc:0 "境内存在至少三种未受保护的学宫传统，思想张力已经达到上限。百家争执严重压缩国家治理能力，并使新征服地区更难平定；更多异派学宫不会继续加重惩罚。"

 zhx_academy.90.t:0 "年度学宫校核"
 zhx_academy.90.d:0 "境内学宫与本国国论的关系已完成低频校核。"
