l_english:
 LGU:0 "凉"
 LGU_ADJ:0 "凉"

 gdd_liang_restoration.1.t:0 "亡凉遗使谒天子"
 gdd_liang_restoration.1.d:0 "凉国覆亡以后，宗庙丘墟，旧臣离散，只有嗣君张承祚与少数随从仍奉守国统。今日，老臣段守节携张承祚入朝，献上故国谱牒与残存印信，请天子承认凉国宗祀未绝，并准许他们遍告诸侯，求取一地以续国命。\n\n天子可以承认凉国嗣君的身份并授予使团符节，却不命令任何诸侯割地；复凉与否，将由列国自行决定。"
 gdd_liang_restoration.1.a:0 "赐之符节，许告列国"
 gdd_liang_restoration.1.a.tt:0 "记录所有直接拥有至少§Y5§!个省份的周天下国家，并随机排定一次不重复的请封行程。第一站将在约§Y90天§!后抵达。"

 gdd_liang_restoration.10.t:0 "凉使至庭"
 gdd_liang_restoration.10.d.grant:0 "持天子符节的凉国使团已经抵达我国。张承祚自称亡凉嗣君，段守节则代他陈说来意：他们不求恢复全部旧疆，只请我国从境内授予一座城邑，使凉国得以复立宗庙，并世代作为我国的卫戍国。\n\n依照他们提出的盟约，若我国日后与凉国共同收回武威、靖远和永昌，三地应归还凉国，而今日授予的原始封地则交还我国。愿意存亡继绝的诸侯，也将由此获得天下称颂。"
 gdd_liang_restoration.10.d.homeland:0 "持天子符节的凉国使团已经抵达我国。张承祚自称亡凉嗣君，段守节则指出，武威、靖远和永昌三处凉国故土如今恰好都在我国治下。他们请求我国不再另授寄居之地，而是直接以三地恢复凉国，使其世代作为我国的卫戍国。\n\n天子并未命令我国割地；是否以故土复凉，完全取决于我们的选择。愿意存亡继绝的诸侯，也将由此获得天下称颂。"
 gdd_liang_restoration.10.a:0 "存亡继绝，许其复国"
 gdd_liang_restoration.10.b:0 "国土不可轻授"
 gdd_liang_restoration.10.a.tt:0 "凉国将获得符合盟约的土地，成为我国的§Y卫戍国§!并立即加入§Y周天下§!；我国永久获得§G+0.33外交声誉§!的§Y存亡继绝§!修正。"
 gdd_liang_restoration.10.a.tt.grant:0 "自动将本国总发展度最低的合格省份授予凉国。首都、未完成殖民地以及武威、靖远、永昌不参与选择；并列最低者随机决定。凉国将成为我国的§Y卫戍国§!并加入§Y周天下§!，我国永久获得§Y存亡继绝§!修正。"
 gdd_liang_restoration.10.a.tt.homeland:0 "武威、靖远和永昌将直接归凉国，凉国以武威为都，成为我国的§Y卫戍国§!并加入§Y周天下§!；我国永久获得§Y存亡继绝§!修正。"
 gdd_liang_restoration.10.b.tt:0 "本次拒绝不会带来惩罚。使团将在约§Y180天§!后前往名单中的下一国；若整轮行程无人接纳，复凉之议将永久结束。"

 gdd_liang_restoration.20.t:0 "凉国复祀"
 gdd_liang_restoration.20.d.grant:0 "一座城邑已经辟作凉国的新封土。张承祚在残存宗室与旧臣的拥立下即位，重建社稷，并以获授之地为临时国都。凉国同时重申对武威、靖远和永昌的故土权利，承诺为恩主守御疆土；若三地日后尽归恩主与凉国之手，双方便应履行今日订立的归土盟约。\n\n凉国已经成为恩主的卫戍国，并以复立诸侯的身份加入周天下。"
 gdd_liang_restoration.20.d.homeland:0 "武威、靖远和永昌已经一并交给凉国。张承祚在残存宗室与旧臣的拥立下即位，以武威为都，重建宗庙社稷，并承诺世代为恩主守御疆土。由于故土已经完整归还，本次复国无需另设寄居封地。\n\n凉国已经成为恩主的卫戍国，并以复立诸侯的身份加入周天下。"
 gdd_liang_restoration.20.a:0 "宗祀得续"

 gdd_liang_restoration.30.t:0 "凉使空还"
 gdd_liang_restoration.30.d:0 "持天子符节遍访列国的凉国使团已经回到王畿。名单中的诸侯或是拒绝割地，或是在使团抵达前便已失去接纳他们的能力，最终无人愿意承担复凉之约。\n\n段守节交还符节，张承祚解散流亡朝廷，凉国宗室自此退为编户，不再以故国名义请封。列国并未违背天子之命，因为这趟行程从来不是强制的诏令；然而凉国复祀的最后机会，也已随使团空还而消逝。"
 gdd_liang_restoration.30.a:0 "礼绝于此"

 gdd_liang_restoration.40.t:0 "请归凉土"
 gdd_liang_restoration.40.d:0 "武威、靖远和永昌如今已经全部归于我国与凉国的共同体系，战事也已平息。张承祚遣段守节持当年的盟书前来，请求履行复国之初的约定：三处故土尽归凉国，以武威为都；若那座最初的寄居封地仍在凉国手中，则同时交还我国。\n\n我们可以践约，使凉国在故土上继续充当卫戍国；也可以扣留三地，但这将公开毁掉使我国获得天下声望的旧约。"
 gdd_liang_restoration.40.a:0 "践其前约"
 gdd_liang_restoration.40.b:0 "此土不可再分"
 gdd_liang_restoration.40.a.tt:0 "武威、靖远和永昌全部归§Y凉国§!，凉国迁都武威并继续作为我国的§Y卫戍国§!。若最初授予的临时封地仍由凉国拥有，该省将返还我国；凉国后来取得的其他土地不受影响。"
 gdd_liang_restoration.40.b.tt:0 "保留现有故土，移除§Y存亡继绝§!修正，并获得持续§Y20年§!的§R背弃复凉之约§!：§R-0.5外交声誉§!、§R-10%改善关系§!、§R-0.5年度威望§!。凉国增加§R100独立倾向§!，但不会立刻发动战争。"

 gdd_liang_restoration.41.t:0 "归都武威"
 gdd_liang_restoration.41.d:0 "盟书所载的承诺终于全部履行。凉国接收武威、靖远和永昌，张承祚迁都武威，重新在故土上祭告宗庙；仍由凉国持有的原始寄居封地也依约归还恩主。\n\n迁归故土没有改变两国之间的卫戍关系。凉国仍奉最初使其复立的诸侯为恩主，只是从此不再寄居异乡。"
 gdd_liang_restoration.41.a:0 "旧约既成"

 gdd_liang_restoration.42.t:0 "前约尽毁"
 gdd_liang_restoration.42.d:0 "恩主拒绝把武威、靖远和永昌交还凉国。当年用来称颂复凉义举的盟书，如今反而成了背约的明证。张承祚没有立即举兵，却下令停止一切恭顺姿态，遣使寻求外援，并准备在力量允许时挣脱卫戍关系。\n\n天下也已知道，所谓存亡继绝的声名再不属于背约者。"
 gdd_liang_restoration.42.a:0 "盟书已成空文"

 gdd_liang_restoration.50.t:0 "复凉之约已毁"
 gdd_liang_restoration.50.d.revoked:0 "凉国尚未迁回故土，恩主便主动撤销了它的卫戍国身份。这一举动虽然终止了原有的宗属关系，却不能抹去复国时公开订立的盟约。存亡继绝的声望已经消散，凉国朝廷也把这次毁约视为对其国统的直接威胁。"
 gdd_liang_restoration.50.d.annexed:0 "凉国尚未迁回故土，恩主便主动吞并了这个由自己一手恢复的国家。复凉盟约至此无从履行，存亡继绝的声望也随凉国社稷一并消散。天下记住的将不再是保存亡国宗祀的义举，而是借复立之名行兼并之实。"
 gdd_liang_restoration.50.a:0 "天下自有公论"

 gdd_liang_preserver_of_fallen_state:0 "存亡继绝"
 desc_gdd_liang_preserver_of_fallen_state:0 "这个国家自愿授予凉国复立之地，使亡国宗祀得以延续；这一义举为其赢得了长久的天下声望。"
 gdd_liang_repudiated_restoration_compact:0 "背弃复凉之约"
 desc_gdd_liang_repudiated_restoration_compact:0 "这个国家背弃了恢复凉国时公开订立的归土盟约。列国不再相信它会遵守类似承诺，朝野也因失信而蒙羞。"
