l_english:
 hangzhou:0 "吴越"
 canton:0 "百越"
 huguang:0 "荆楚"
 chengdu:0 "巴蜀"
 yungui:0 "滇夜郎"
 xian:0 "秦陇"
 zhongyuan:0 "河济"
 beijing:0 "幽燕"
 trade_company_east_china:0 "吴越特许贸易区"
 GDD_TRADE_COMPANY_HANGZHOU:0 "吴越贸易公司"
 trade_company_south_china:0 "百越特许贸易区"
 GDD_TRADE_COMPANY_CANTON:0 "百越贸易公司"
 trade_company_huguang:0 "荆楚特许贸易区"
 GDD_TRADE_COMPANY_HUGUANG:0 "荆楚贸易公司"
 trade_company_chengdu:0 "巴蜀特许贸易区"
 GDD_TRADE_COMPANY_CHENGDU:0 "巴蜀贸易公司"
 trade_company_yungui:0 "滇夜郎特许贸易区"
 GDD_TRADE_COMPANY_YUNGUI:0 "滇夜郎贸易公司"
 trade_company_xian:0 "秦陇特许贸易区"
 GDD_TRADE_COMPANY_XIAN:0 "秦陇贸易公司"
 trade_company_zhongyuan:0 "河济特许贸易区"
 GDD_TRADE_COMPANY_ZHONGYUAN:0 "河济贸易公司"
 trade_company_north_china:0 "幽燕特许贸易区"
 GDD_TRADE_COMPANY_BEIJING:0 "幽燕贸易公司"
