name	group	status	source_id	rgb	pixels	bbox
阿尔泰山	北庭天山	新增候选	3136	103,145,189	186	4141,549,4163,567
塔尔巴哈台山	北庭天山	新增候选	5176	174,51,139	113	4052,567,4070,578
阿拉套山	北庭天山	新增候选	5172	38,164,89	63	3951,620,3956,634
外伊犁山	北庭天山	新增候选	5171	109,70,39	146	3890,647,3912,664
乌孙山西段	北庭天山	新增候选	5177	180,183,196	125	3970,644,3980,663
乌孙山东段	北庭天山	叠合现有底座	5178	existing	168	3994,645,4023,656
博罗科努山	北庭天山	新增候选	5170	44,89,146	177	4051,630,4065,652
天山中段	北庭天山	新增候选	5151	115,202,96	406	4084,637,4123,675
天山东段	北庭天山	新增候选	5158	186,108,46	118	4127,632,4136,651
巴里坤山	北庭天山	新增候选	5173	50,221,203	226	4216,645,4247,662
哈尔里克山	北庭天山	新增候选	5174	121,127,153	49	4227,638,4236,648
北塔山	北庭天山	新增候选	5175	192,33,103	24	4166,605,4170,609
喀喇昆仑山	昆仑南缘	新增候选	5163	56,146,53	85	3931,799,3941,812
昆仑山西段	昆仑南缘	新增候选	5169	127,52,210	189	3930,784,3977,799
昆仑山中段	昆仑南缘	新增候选	4975	198,165,160	1042	3980,769,4111,817
昆仑山东段	昆仑南缘	新增候选	5552	62,71,110	218	4253,796,4310,812
祁曼塔格山	昆仑南缘	叠合现有底座	4986	existing	96	4434,732,4444,753
青海南山	河西祁连	新增候选	5553	133,184,60	145	4288,762,4304,782
祁连山	河西祁连	新增候选	5290	204,90,217	190	4345,754,4369,772
合黎山	河西祁连	新增候选	5368	68,203,167	87	4340,726,4350,742
龙首山	河西祁连	叠合现有底座	5369	existing	25	4361,742,4370,745
马鬃山西段	河西祁连	新增候选	5371	139,109,117	70	4288,702,4298,712
马鬃山东段	河西祁连	新增候选	5372	210,222,67	57	4269,658,4281,663
拉脊山	河湟朔漠	新增候选	5551	74,128,224	72	4320,811,4332,818
积石山	河湟朔漠	新增候选	5550	145,34,174	115	4390,807,4402,825
阿尼玛卿山	河湟朔漠	新增候选	5549	216,147,124	65	4369,840,4380,849
贺兰山	河湟朔漠	新增候选	当前709—698/5286省界	80,53,74	341	4425,732,4477,775
狼山	河湟朔漠	新增候选	5114	151,166,231	163	4446,680,4477,694
阴山西段	河湟朔漠	新增候选	5082	222,72,181	433	4497,689,4568,704
